AO,,AQ,,CM,,CN,,CU,,CV,,DA,,DE,,DL,,DR,,EF,,EI,,GL,,GN,,GO,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,IE,,IF,,IJ,,IS,,JH,,JI,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LO,,LP,,LR,,LW,,LX,,MC,,MG,,MN,,MU,,MV,,NG,,NM,,NV,,OG,,OQ,,OR,,PD,,QA,,QM,,QN,,QO,,QV,,RD,,RG,,RL,,RO,,RS,,SD,,SI,,SL,,SQ,,SR,,UA,,UG,,UO,,UV,,VA,,VC,,VG,,VM,,VN,,VQ,,WL,,WX,,WY,,XG,,XL,,XW,,XY,,YL,,YW,,YX
47,,48,,90,,42,,84,,52,,42,,43,,42,,42,,42,,61,,66,,48,,93,,48,,43,,166,,48,,120,,42,,61,,44,,44,,80,,48,,48,,102,,43,,75,,125,,44,,46,,44,,68,,51,,42,,107,,45,,57,,115,,145,,52,,107,,43,,43,,42,,48,,47,,66,,59,,64,,61,,48,,55,,57,,44,,,,44,,44,,48,,43,,94,,50,,42,,42,,42,,52,,42,,48,,42,,43,,42,,58,,42,,66,,162,,42,,65,,54,,101,,124,,43,,47,,101,,81,,48,,42,,42,,64
47,,43,,77,,42,,75,,50,,44,,43,,42,,42,,43,,57,,70,,48,,92,,44,,42,,142,,44,,94,,45,,57,,43,,43,,77,,44,,45,,90,,42,,77,,93,,46,,44,,42,,57,,49,,42,,85,,43,,57,,101,,137,,55,,92,,43,,43,,42,,43,,45,,61,,57,,57,,60,,51,,50,,54,,90,,,,48,,42,,48,,48,,80,,44,,43,,42,,42,,48,,42,,44,,42,,43,,45,,54,,44,,62,,133,,48,,61,,50,,91,,113,,42,,43,,88,,75,,51,,42,,42,,57
44,,43,,43,,43,,60,,48,,64,,42,,42,,48,,42,,55,,62,,44,,70,,42,,43,,101,,46,,75,,42,,57,,42,,44,,65,,44,,45,,74,,43,,57,,72,,43,,43,,42,,61,,48,,42,,71,,42,,54,,91,,112,,51,,72,,42,,42,,42,,43,,42,,53,,50,,48,,50,,47,,48,,48,,65,,,,66,,42,,45,,43,,75,,42,,43,,42,,42,,48,,42,,44,,42,,43,,84,,46,,48,,57,,102,,112,,56,,48,,79,,95,,43,,44,,70,,67,,42,,42,,42,,48
43,,42,,42,,43,,52,,43,,74,,57,,42,,80,,42,,47,,57,,42,,53,,42,,43,,89,,45,,70,,42,,48,,42,,42,,57,,43,,44,,66,,57,,52,,72,,44,,42,,42,,48,,44,,47,,68,,42,,48,,72,,92,,48,,57,,42,,45,,42,,42,,42,,44,,44,,48,,48,,42,,43,,45,,48,,,,92,,42,,43,,42,,67,,43,,48,,43,,42,,46,,43,,42,,43,,42,,68,,43,,48,,51,,70,,128,,48,,44,,66,,81,,,,48,,67,,55,,42,,43,,42,,42
43,,43,,48,,42,,49,,42,,66,,62,,57,,88,,57,,43,,54,,42,,64,,42,,42,,77,,43,,57,,43,,48,,48,,42,,48,,42,,42,,57,,315,,43,,57,,43,,42,,43,,49,,48,,56,,55,,42,,48,,74,,79,,43,,53,,48,,57,,43,,43,,43,,45,,46,,48,,47,,43,,43,,44,,48,,,,61,,89,,42,,42,,57,,42,,53,,42,,,,45,,42,,43,,47,,43,,45,,42,,57,,44,,72,,81,,45,,44,,67,,66,,,,42,,64,,55,,48,,43,,42,,252
42,,120,,57,,42,,48,,42,,60,,58,,66,,80,,120,,43,,48,,43,,57,,43,,43,,72,,43,,57,,43,,45,,127,,43,,48,,42,,42,,57,,305,,48,,64,,42,,42,,43,,48,,44,,48,,57,,43,,42,,60,,72,,45,,53,,56,,48,,44,,48,,43,,48,,45,,48,,48,,42,,44,,43,,48,,,,66,,227,,42,,42,,59,,45,,48,,42,,,,45,,42,,42,,42,,42,,47,,42,,48,,48,,61,,77,,48,,42,,56,,66,,,,44,,60,,48,,107,,43,,42,,400
57,,261,,61,,42,,50,,44,,61,,56,,70,,79,,119,,47,,52,,48,,62,,61,,42,,95,,42,,57,,101,,48,,136,,46,,148,,44,,45,,57,,246,,156,,61,,66,,57,,42,,50,,43,,48,,57,,42,,44,,62,,70,,45,,57,,51,,45,,132,,89,,42,,50,,48,,48,,51,,44,,44,,48,,48,,,,77,,231,,43,,70,,57,,97,,47,,42,,,,43,,104,,44,,45,,45,,44,,62,,48,,44,,70,,94,,48,,48,,51,,66,,,,55,,66,,48,,242,,44,,42,,406
92,,263,,104,,44,,101,,47,,57,,52,,60,,75,,107,,72,,70,,57,,128,,65,,43,,296,,43,,132,,103,,62,,113,,66,,325,,48,,48,,113,,244,,137,,113,,62,,340,,43,,66,,57,,48,,121,,46,,57,,135,,151,,49,,106,,48,,48,,154,,92,,44,,90,,100,,81,,107,,79,,65,,89,,50,,,,70,,179,,62,,113,,119,,309,,47,,42,,,,52,,87,,87,,64,,65,,47,,133,,48,,70,,176,,78,,112,,86,,113,,135,,,,110,,88,,112,,387,,42,,42,,427
111,,211,,110,,43,,106,,57,,62,,50,,64,,62,,112,,169,,144,,58,,266,,63,,43,,880,,57,,287,,88,,63,,104,,107,,330,,85,,52,,273,,252,,112,,247,,96,,319,,42,,84,,87,,43,,231,,92,,96,,287,,433,,55,,128,,48,,45,,136,,82,,48,,306,,201,,207,,332,,177,,129,,136,,48,,,,68,,184,,86,,118,,266,,331,,43,,43,,,,75,,75,,278,,96,,54,,43,,154,,48,,84,,554,,88,,234,,151,,477,,363,,,,81,,68,,420,,400,,42,,43,,382
86,,203,,104,,43,,107,,58,,57,,57,,53,,68,,105,,178,,206,,59,,302,,65,,42,,852,,55,,358,,81,,57,,109,,104,,270,,87,,48,,333,,246,,92,,305,,61,,247,,42,,120,,106,,48,,298,,75,,88,,343,,493,,57,,130,,48,,47,,148,,85,,56,,280,,243,,252,,340,,221,,144,,173,,45,,,,74,,210,,113,,101,,287,,227,,47,,42,,,,78,,67,,295,,66,,55,,42,,119,,46,,81,,686,,85,,216,,199,,487,,411,,,,65,,57,,441,,377,,42,,42,,376
92,,223,,90,,42,,102,,51,,60,,48,,57,,66,,113,,177,,152,,56,,303,,65,,43,,628,,51,,296,,84,,57,,92,,82,,263,,65,,48,,262,,269,,88,,259,,70,,239,,43,,80,,96,,47,,223,,68,,92,,299,,421,,73,,113,,51,,45,,147,,89,,55,,171,,210,,228,,223,,182,,132,,154,,48,,,,76,,191,,93,,115,,283,,195,,48,,42,,,,79,,59,,199,,44,,49,,47,,134,,48,,78,,522,,82,,192,,149,,432,,357,,,,64,,64,,393,,355,,42,,,,398
80,,193,,114,,43,,101,,66,,65,,54,,59,,68,,111,,176,,154,,57,,295,,62,,44,,615,,54,,331,,87,,57,,101,,89,,266,,64,,48,,297,,276,,83,,293,,74,,263,,43,,84,,96,,43,,270,,68,,99,,299,,461,,57,,120,,48,,45,,139,,91,,48,,176,,174,,234,,199,,203,,118,,139,,48,,,,70,,178,,101,,106,,314,,222,,46,,42,,,,71,,62,,189,,46,,57,,48,,133,,48,,83,,587,,81,,191,,142,,440,,397,,,,72,,58,,399,,345,,,,,,360
74,,195,,107,,44,,101,,58,,57,,63,,61,,70,,107,,177,,195,,57,,278,,63,,44,,662,,57,,345,,93,,56,,114,,85,,249,,74,,52,,299,,249,,91,,314,,59,,227,,42,,65,,100,,48,,304,,66,,120,,311,,494,,57,,103,,53,,48,,128,,92,,50,,160,,187,,235,,219,,223,,138,,139,,48,,,,91,,183,,96,,90,,329,,178,,44,,42,,,,77,,47,,201,,44,,50,,49,,119,,43,,72,,599,,118,,228,,142,,491,,422,,,,73,,57,,423,,356,,,,,,415
85,,205,,114,,43,,104,,55,,44,,55,,64,,66,,112,,173,,159,,50,,252,,66,,44,,638,,57,,331,,107,,49,,120,,91,,269,,56,,52,,313,,265,,88,,286,,85,,260,,42,,82,,90,,62,,247,,57,,95,,263,,421,,60,,113,,56,,48,,145,,88,,52,,152,,190,,184,,198,,205,,132,,141,,45,,,,79,,173,,96,,84,,269,,203,,48,,48,,,,78,,48,,191,,44,,48,,48,,137,,47,,80,,544,,96,,209,,145,,409,,352,,,,66,,56,,348,,340,,,,,,480
89,,190,,120,,43,,105,,57,,43,,48,,60,,48,,108,,150,,163,,52,,268,,59,,43,,614,,48,,306,,89,,57,,113,,78,,273,,70,,48,,278,,331,,92,,239,,66,,285,,45,,105,,83,,60,,232,,65,,100,,262,,460,,57,,120,,48,,43,,149,,90,,56,,165,,176,,216,,207,,181,,119,,147,,42,,,,54,,195,,78,,96,,274,,213,,48,,77,,,,71,,46,,203,,43,,48,,44,,130,,46,,83,,599,,68,,188,,140,,419,,359,,,,68,,55,,366,,363,,,,,,263
80,,215,,112,,42,,104,,60,,44,,43,,48,,45,,126,,167,,157,,62,,283,,65,,42,,670,,53,,357,,87,,55,,106,,81,,278,,67,,47,,304,,84,,88,,311,,57,,271,,48,,72,,101,,49,,287,,66,,100,,283,,511,,58,,119,,50,,44,,159,,90,,57,,187,,209,,221,,208,,186,,119,,153,,42,,,,57,,263,,88,,93,,309,,211,,50,,78,,,,84,,48,,216,,43,,48,,43,,135,,43,,81,,591,,57,,199,,164,,485,,430,,,,68,,60,,426,,391,,,,,,182
86,,257,,113,,43,,112,,65,,43,,43,,43,,45,,81,,164,,163,,66,,306,,74,,44,,644,,52,,356,,85,,57,,72,,81,,295,,66,,48,,326,,65,,97,,344,,72,,252,,48,,72,,94,,48,,292,,65,,98,,268,,408,,58,,119,,49,,44,,190,,91,,57,,171,,178,,227,,203,,207,,137,,149,,48,,,,51,,151,,92,,90,,295,,191,,45,,68,,,,70,,44,,183,,43,,61,,42,,131,,44,,78,,595,,45,,181,,150,,431,,361,,,,63,,57,,390,,220,,,,,,177
120,,162,,107,,42,,115,,58,,42,,43,,43,,42,,68,,191,,184,,57,,299,,65,,42,,601,,57,,338,,44,,60,,66,,95,,393,,65,,74,,327,,57,,124,,295,,96,,314,,48,,81,,94,,44,,291,,70,,115,,278,,464,,51,,120,,54,,47,,126,,92,,52,,168,,199,,243,,191,,234,,142,,131,,47,,,,43,,98,,92,,110,,306,,269,,47,,62,,,,74,,43,,191,,48,,74,,42,,149,,43,,72,,606,,43,,197,,138,,454,,379,,,,84,,57,,419,,148,,,,,,122
80,,136,,107,,42,,124,,66,,42,,42,,44,,44,,64,,281,,283,,46,,298,,60,,42,,899,,52,,396,,47,,57,,53,,90,,331,,81,,72,,402,,44,,236,,319,,101,,104,,47,,75,,113,,43,,332,,72,,110,,322,,561,,54,,108,,48,,44,,96,,70,,53,,199,,222,,294,,292,,323,,141,,160,,48,,,,43,,84,,112,,93,,330,,177,,46,,65,,,,75,,43,,252,,43,,63,,42,,137,,43,,78,,672,,42,,270,,153,,547,,465,,,,70,,62,,478,,156,,,,,,78
64,,106,,170,,42,,146,,66,,42,,42,,42,,43,,51,,164,,256,,48,,293,,57,,43,,701,,48,,386,,42,,78,,54,,81,,245,,68,,68,,407,,44,,196,,304,,73,,65,,48,,85,,120,,43,,329,,61,,88,,297,,478,,56,,191,,48,,45,,92,,75,,52,,187,,181,,207,,207,,204,,126,,163,,49,,,,42,,67,,92,,65,,292,,112,,43,,70,,,,66,,63,,143,,47,,48,,48,,112,,42,,105,,650,,45,,177,,154,,327,,384,,,,61,,158,,273,,143,,,,,,65
59,,81,,154,,42,,149,,60,,52,,42,,42,,49,,44,,111,,182,,60,,211,,54,,43,,520,,57,,304,,42,,86,,48,,80,,219,,57,,70,,292,,42,,173,,263,,63,,60,,48,,96,,104,,42,,261,,57,,87,,234,,368,,70,,172,,43,,42,,66,,65,,54,,139,,149,,149,,139,,118,,97,,113,,48,,,,44,,55,,75,,61,,202,,101,,42,,79,,,,70,,107,,101,,44,,48,,48,,111,,45,,102,,531,,57,,151,,101,,255,,301,,,,58,,180,,216,,96,,,,,,64
61,,66,,183,,43,,148,,65,,72,,42,,43,,77,,43,,104,,157,,56,,204,,46,,43,,475,,57,,336,,43,,90,,42,,70,,168,,57,,61,,302,,42,,132,,291,,62,,48,,42,,96,,105,,42,,298,,64,,91,,236,,328,,61,,199,,44,,43,,48,,54,,52,,136,,153,,113,,118,,126,,110,,138,,47,,,,48,,43,,75,,66,,170,,86,,42,,99,,,,66,,133,,96,,43,,47,,45,,78,,44,,105,,537,,80,,159,,113,,259,,275,,,,53,,188,,232,,57,,,,,,49
49,,48,,142,,42,,136,,63,,68,,42,,42,,72,,44,,81,,124,,48,,174,,43,,43,,350,,57,,322,,43,,72,,42,,72,,148,,54,,64,,271,,43,,128,,274,,48,,48,,42,,74,,92,,48,,242,,53,,76,,208,,298,,57,,190,,42,,43,,44,,45,,48,,111,,109,,88,,96,,108,,96,,97,,48,,,,57,,44,,71,,54,,164,,72,,42,,83,,,,70,,116,,88,,44,,44,,44,,64,,57,,96,,350,,88,,137,,92,,199,,242,,,,50,,166,,172,,50,,,,,,48
45,,46,,119,,42,,104,,57,,67,,43,,43,,78,,44,,66,,81,,48,,117,,42,,48,,264,,50,,181,,43,,72,,43,,57,,85,,44,,57,,159,,44,,68,,180,,47,,48,,42,,70,,65,,44,,154,,48,,51,,137,,211,,59,,131,,42,,42,,42,,48,,47,,77,,94,,66,,79,,66,,65,,70,,47,,,,65,,42,,61,,44,,108,,48,,42,,75,,,,58,,93,,72,,48,,42,,47,,57,,50,,84,,242,,91,,101,,70,,125,,172,,,,48,,128,,107,,48,,,,,,102
48,,44,,99,,42,,78,,49,,57,,48,,43,,72,,42,,57,,84,,48,,88,,43,,42,,191,,56,,128,,42,,70,,42,,48,,83,,48,,48,,116,,42,,83,,120,,48,,47,,42,,81,,61,,56,,119,,47,,48,,110,,176,,62,,103,,42,,46,,42,,42,,45,,67,,68,,57,,61,,48,,50,,61,,45,,,,65,,42,,47,,42,,87,,48,,44,,72,,,,58,,109,,48,,43,,44,,44,,56,,57,,72,,164,,88,,70,,57,,118,,137,,,,48,,118,,86,,42,,,,,,190
44,,42,,81,,42,,84,,52,,60,,56,,47,,69,,42,,50,,77,,42,,84,,43,,62,,168,,50,,112,,43,,61,,59,,48,,64,,48,,46,,107,,42,,63,,115,,43,,44,,43,,68,,51,,52,,112,,44,,48,,104,,150,,61,,105,,48,,43,,42,,42,,46,,68,,64,,59,,61,,43,,44,,57,,44,,,,62,,63,,48,,42,,76,,42,,47,,62,,,,56,,137,,53,,43,,42,,44,,48,,101,,65,,158,,77,,58,,51,,107,,119,,,,43,,104,,84,,43,,,,,,367
43,,43,,66,,42,,68,,48,,57,,57,,64,,70,,57,,48,,68,,43,,69,,43,,48,,127,,47,,81,,48,,53,,78,,47,,54,,44,,46,,75,,101,,57,,80,,42,,43,,42,,57,,48,,48,,81,,43,,48,,90,,112,,52,,81,,47,,45,,48,,43,,43,,52,,51,,56,,50,,48,,48,,48,,,,,,53,,140,,45,,42,,68,,42,,48,,50,,,,49,,119,,43,,48,,46,,45,,48,,76,,61,,118,,94,,48,,48,,72,,96,,,,43,,84,,62,,42,,,,,,409
42,,42,,63,,43,,62,,46,,62,,49,,61,,70,,92,,43,,62,,42,,57,,42,,70,,100,,48,,81,,84,,53,,104,,42,,54,,42,,43,,72,,262,,57,,72,,42,,45,,42,,59,,52,,47,,66,,42,,44,,70,,97,,50,,70,,51,,44,,48,,43,,42,,48,,45,,47,,48,,42,,43,,47,,,,,,43,,190,,43,,42,,63,,42,,45,,48,,,,48,,99,,42,,47,,48,,42,,44,,123,,54,,81,,86,,47,,45,,64,,85,,,,42,,80,,49,,42,,,,,,429
42,,83,,58,,44,,43,,42,,63,,57,,61,,70,,106,,48,,64,,42,,57,,48,,48,,78,,44,,71,,94,,57,,118,,42,,48,,43,,42,,65,,263,,47,,73,,43,,103,,43,,58,,52,,48,,66,,42,,42,,57,,74,,48,,43,,49,,44,,48,,44,,43,,50,,46,,44,,48,,42,,42,,43,,,,,,57,,184,,42,,43,,48,,43,,45,,48,,,,44,,113,,42,,44,,48,,42,,42,,65,,52,,70,,74,,45,,42,,54,,62,,,,42,,65,,43,,171,,,,,,310
53,,199,,57,,42,,43,,43,,56,,48,,59,,68,,119,,44,,59,,42,,48,,57,,42,,79,,43,,57,,81,,46,,61,,45,,51,,42,,54,,57,,278,,52,,61,,63,,266,,42,,61,,48,,53,,57,,46,,43,,57,,77,,48,,43,,55,,44,,77,,49,,43,,48,,42,,46,,43,,42,,45,,42,,,,,,66,,199,,43,,62,,55,,88,,47,,42,,,,44,,101,,94,,44,,55,,43,,45,,52,,48,,68,,71,,48,,44,,48,,66,,,,43,,66,,44,,323,,,,,,285
72,,256,,59,,42,,49,,42,,45,,48,,57,,43,,113,,48,,57,,48,,55,,57,,72,,84,,42,,57,,83,,46,,65,,48,,107,,48,,57,,56,,270,,129,,62,,65,,257,,43,,55,,48,,48,,60,,65,,57,,60,,72,,43,,48,,48,,42,,120,,68,,51,,48,,46,,43,,48,,43,,59,,48,,,,,,64,,196,,42,,87,,52,,198,,48,,43,,,,43,,133,,162,,48,,57,,,,48,,57,,47,,65,,45,,52,,45,,56,,65,,,,49,,66,,48,,350,,,,,,371
86,,223,,91,,42,,56,,42,,,,54,,63,,,,111,,60,,72,,51,,111,,61,,65,,216,,45,,142,,85,,56,,47,,63,,255,,59,,49,,107,,249,,214,,120,,88,,252,,42,,62,,54,,45,,120,,59,,66,,131,,137,,48,,48,,48,,44,,128,,75,,47,,85,,93,,74,,91,,70,,96,,81,,,,,,45,,167,,63,,105,,107,,255,,48,,42,,,,49,,119,,228,,57,,50,,,,84,,110,,66,,145,,42,,95,,78,,96,,120,,,,74,,103,,88,,336,,,,,,352
88,,220,,136,,43,,51,,42,,,,53,,58,,,,112,,111,,96,,57,,171,,61,,54,,550,,49,,186,,84,,72,,88,,94,,233,,62,,48,,197,,280,,107,,145,,76,,270,,63,,88,,66,,50,,163,,60,,90,,203,,278,,57,,50,,48,,44,,160,,88,,55,,192,,128,,146,,214,,112,,124,,104,,,,,,,,163,,70,,107,,191,,217,,48,,44,,,,61,,90,,234,,61,,55,,,,108,,133,,96,,306,,42,,154,,99,,242,,239,,,,78,,84,,218,,343,,,,,,285
80,,210,,139,,44,,53,,48,,,,57,,57,,,,116,,163,,132,,65,,201,,61,,58,,706,,48,,273,,104,,57,,68,,85,,293,,64,,48,,242,,253,,102,,219,,57,,240,,78,,80,,78,,255,,228,,70,,94,,263,,386,,57,,52,,48,,42,,190,,86,,52,,218,,134,,170,,272,,171,,141,,127,,,,,,,,181,,96,,113,,242,,224,,48,,57,,,,77,,75,,229,,44,,48,,,,117,,104,,99,,528,,42,,199,,118,,342,,335,,,,58,,57,,299,,351,,,,,,226
81,,209,,117,,43,,57,,48,,,,44,,60,,,,97,,171,,145,,55,,295,,66,,51,,659,,48,,318,,92,,57,,65,,101,,308,,65,,52,,310,,224,,111,,254,,81,,283,,70,,101,,88,,278,,247,,59,,97,,263,,449,,62,,48,,48,,42,,136,,110,,48,,191,,198,,203,,230,,183,,162,,159,,,,,,,,156,,92,,96,,275,,211,,43,,74,,,,86,,65,,205,,44,,56,,,,120,,94,,79,,553,,43,,216,,148,,390,,374,,,,65,,61,,328,,363,,,,,,174
70,,220,,121,,42,,56,,48,,,,,,44,,,,91,,162,,170,,57,,304,,63,,48,,698,,49,,396,,92,,57,,48,,105,,194,,57,,55,,344,,220,,109,,327,,70,,257,,71,,97,,102,,231,,302,,61,,102,,311,,464,,51,,51,,42,,43,,147,,93,,48,,177,,219,,216,,221,,194,,106,,145,,,,,,,,159,,101,,96,,297,,189,,48,,68,,,,85,,66,,199,,48,,48,,,,122,,84,,76,,572,,,,226,,145,,455,,393,,,,68,,57,,370,,309,,,,,,128
65,,193,,130,,42,,53,,51,,,,,,42,,,,90,,172,,206,,50,,136,,57,,42,,698,,54,,377,,72,,53,,,,77,,225,,57,,55,,311,,242,,99,,327,,76,,218,,77,,71,,112,,264,,308,,64,,88,,279,,492,,57,,48,,48,,42,,127,,84,,44,,184,,140,,178,,220,,199,,93,,80,,,,,,,,92,,84,,97,,280,,192,,47,,,,,,73,,48,,220,,42,,48,,,,113,,72,,85,,663,,,,230,,77,,470,,402,,,,64,,61,,374,,316,,,,,,157
77,,174,,150,,42,,50,,47,,,,,,42,,,,57,,153,,160,,62,,151,,63,,42,,660,,57,,345,,43,,48,,,,77,,206,,55,,51,,309,,65,,96,,299,,68,,226,,57,,85,,93,,225,,278,,62,,101,,205,,414,,57,,48,,42,,42,,171,,98,,48,,160,,144,,164,,194,,170,,50,,107,,,,,,,,62,,70,,105,,243,,199,,43,,,,,,71,,50,,202,,46,,45,,,,93,,48,,93,,538,,,,201,,101,,342,,352,,,,66,,97,,298,,256,,,,,,106
72,,168,,150,,42,,57,,50,,,,,,43,,,,,,152,,137,,64,,48,,60,,42,,673,,48,,342,,42,,53,,,,61,,235,,62,,44,,318,,53,,92,,269,,84,,233,,51,,94,,88,,117,,269,,57,,97,,209,,413,,56,,45,,42,,42,,113,,79,,52,,172,,109,,167,,216,,149,,127,,48,,,,,,,,48,,48,,85,,223,,178,,44,,,,,,70,,48,,182,,48,,,,,,120,,48,,94,,527,,,,216,,43,,225,,387,,,,70,,199,,203,,350,,,,,,69
72,,74,,133,,42,,44,,48,,,,,,42,,,,,,155,,184,,54,,234,,58,,42,,628,,48,,299,,42,,57,,,,78,,184,,57,,55,,287,,48,,83,,253,,81,,62,,48,,96,,90,,98,,249,,65,,101,,252,,441,,65,,43,,42,,42,,165,,92,,55,,179,,199,,182,,204,,195,,133,,124,,,,,,,,47,,100,,96,,257,,172,,42,,,,,,78,,47,,188,,46,,,,,,92,,49,,86,,534,,,,199,,118,,429,,359,,,,66,,64,,367,,207,,,,,,64
