AQ,,CM,,CN,,CV,,DL,,DR,,GL,,GN,,GQ,,GR,,GV,,GX,,HJ,,HK,,HL,,JH,,JK,,JL,,KH,,KJ,,KL,,LD,,LG,,LH,,LJ,,LK,,LR,,LX,,MC,,MG,,MN,,MV,,NG,,NV,,QA,,QN,,QV,,RD,,RG,,RL,,RS,,SD,,SL,,SQ,,SR,,VA,,VC,,VG,,VM,,VN,,VQ,,XG,,XL,,XY,,YL,,YX
,,,,,,43,,,,,,49,,,,59,,67,,71,,42,,43,,,,43,,48,,303,,69,,,,,,269,,57,,48,,46,,72,,,,,,63,,,,42,,,,54,,51,,42,,44,,,,88,,55,,,,61,,49,,,,42,,43,,48,,44,,48,,61,,,,48,,,,53,,63,,177,,,,147
,,,,,,44,,,,,,45,,,,63,,68,,81,,42,,43,,,,48,,48,,321,,44,,,,,,260,,70,,43,,42,,48,,,,,,67,,,,42,,,,61,,53,,43,,42,,,,92,,57,,,,66,,44,,,,43,,43,,44,,44,,44,,64,,,,47,,,,78,,65,,364,,,,335
,,,,,,48,,,,,,63,,,,65,,72,,174,,43,,44,,,,43,,53,,325,,47,,,,,,239,,64,,57,,42,,48,,,,,,90,,,,42,,,,54,,49,,72,,43,,,,81,,54,,,,56,,45,,,,46,,57,,46,,65,,57,,125,,,,42,,,,85,,99,,345,,,,376
,,,,,,69,,,,,,109,,,,62,,75,,553,,48,,42,,,,45,,48,,112,,48,,,,,,99,,71,,81,,42,,48,,,,,,230,,,,42,,,,49,,53,,113,,42,,,,86,,53,,,,47,,43,,,,71,,136,,46,,92,,77,,431,,,,42,,,,77,,235,,412,,,,406
,,,,,,69,,,,,,171,,,,64,,68,,730,,52,,48,,,,42,,48,,107,,65,,,,,,80,,70,,78,,43,,64,,,,,,338,,,,42,,,,48,,48,,171,,44,,,,104,,64,,,,43,,42,,,,81,,137,,46,,141,,88,,577,,,,42,,,,72,,340,,356,,,,478
,,,,,,65,,,,,,134,,,,66,,72,,597,,48,,50,,,,48,,48,,78,,145,,,,,,67,,66,,74,,43,,124,,,,,,319,,,,44,,,,47,,48,,163,,42,,,,57,,57,,,,42,,43,,,,78,,113,,45,,179,,66,,535,,,,42,,,,87,,345,,325,,,,393
,,,,,,66,,,,,,148,,,,62,,63,,638,,48,,57,,,,48,,44,,,,97,,,,,,,,57,,79,,43,,161,,,,,,415,,,,43,,,,42,,53,,153,,42,,,,51,,55,,,,42,,42,,,,74,,101,,46,,182,,68,,578,,,,42,,,,88,,381,,377,,,,438
,,,,,,84,,,,,,209,,,,57,,57,,729,,57,,57,,,,46,,48,,,,101,,,,,,,,62,,70,,44,,236,,,,,,399,,,,43,,,,42,,48,,147,,42,,,,50,,57,,,,42,,43,,,,79,,121,,42,,136,,72,,683,,,,42,,,,85,,430,,364,,,,432
,,,,,,76,,,,,,163,,,,59,,70,,697,,51,,58,,,,48,,50,,,,89,,,,,,,,65,,57,,48,,295,,,,,,378,,,,43,,,,48,,48,,147,,43,,,,48,,57,,,,72,,48,,,,72,,113,,,,120,,75,,579,,,,42,,,,91,,363,,342,,,,386
,,,,,,73,,,,,,145,,,,49,,61,,739,,48,,57,,,,43,,48,,,,112,,,,,,,,68,,74,,54,,345,,,,,,416,,,,43,,,,48,,52,,139,,43,,,,44,,48,,,,90,,47,,,,83,,148,,,,116,,81,,653,,,,43,,,,78,,361,,369,,,,368
,,,,,,75,,,,,,168,,,,45,,48,,716,,62,,57,,,,44,,48,,,,126,,,,,,,,70,,96,,57,,374,,,,,,437,,,,,,,,48,,53,,145,,44,,,,42,,46,,,,94,,44,,,,78,,118,,,,109,,76,,606,,,,48,,,,85,,363,,384,,,,429
,,,,,,74,,,,,,147,,,,46,,48,,609,,56,,57,,,,47,,48,,,,109,,,,,,,,77,,72,,48,,309,,,,,,327,,,,,,,,57,,48,,115,,47,,,,43,,43,,,,91,,47,,,,69,,98,,,,96,,80,,565,,,,44,,,,80,,343,,206,,,,224
,,,,,,78,,,,,,170,,,,42,,43,,621,,48,,49,,,,46,,,,,,135,,,,,,,,74,,80,,48,,326,,,,,,350,,,,,,,,55,,52,,120,,46,,,,42,,42,,,,101,,43,,,,76,,101,,,,110,,79,,585,,,,44,,,,76,,358,,185,,,,245
,,,,,,86,,,,,,199,,,,42,,43,,771,,49,,51,,,,48,,,,,,137,,,,,,,,77,,84,,42,,319,,,,,,384,,,,,,,,50,,53,,143,,48,,,,78,,42,,,,94,,47,,,,72,,128,,,,112,,81,,701,,,,48,,,,71,,420,,145,,,,197
,,,,,,84,,,,,,211,,,,42,,42,,651,,57,,54,,,,43,,,,,,116,,,,,,,,82,,78,,,,145,,,,,,354,,,,,,,,52,,44,,114,,44,,,,86,,43,,,,88,,44,,,,66,,88,,,,97,,99,,635,,,,44,,,,78,,309,,127,,,,128
,,,,,,89,,,,,,139,,,,42,,42,,624,,56,,57,,,,42,,,,,,106,,,,,,,,57,,88,,,,42,,,,,,383,,,,,,,,48,,46,,124,,46,,,,80,,44,,,,96,,42,,,,70,,91,,,,99,,125,,563,,,,44,,,,76,,327,,90,,,,88
,,,,,,104,,,,,,167,,,,42,,43,,481,,57,,55,,,,42,,,,,,101,,,,,,,,48,,97,,,,42,,,,,,308,,,,,,,,50,,44,,112,,48,,,,94,,57,,,,65,,44,,,,68,,77,,,,93,,105,,527,,,,44,,,,63,,312,,53,,,,66
,,,,,,84,,,,,,125,,,,48,,48,,337,,53,,55,,,,48,,,,,,228,,,,,,,,52,,74,,,,,,,,,,234,,,,,,,,48,,42,,92,,44,,,,97,,57,,,,56,,45,,,,62,,65,,,,81,,101,,358,,,,42,,,,57,,275,,56,,,,57
,,,,,,72,,,,,,90,,,,57,,59,,251,,49,,57,,,,48,,,,,,227,,,,,,,,52,,63,,,,,,,,,,179,,,,,,,,61,,42,,81,,44,,,,84,,57,,,,51,,57,,,,60,,64,,,,74,,83,,249,,,,44,,,,53,,183,,48,,,,53
,,,,,,63,,,,,,80,,,,57,,57,,191,,50,,,,,,48,,,,,,193,,,,,,,,48,,70,,,,,,,,,,156,,,,,,,,61,,44,,57,,46,,,,84,,64,,,,48,,46,,,,49,,57,,,,57,,74,,172,,,,42,,,,48,,151,,42,,,,42
,,,,,,57,,,,,,74,,,,60,,62,,164,,47,,,,,,,,,,,,,,,,,,,,43,,57,,,,,,,,,,143,,,,,,,,48,,48,,57,,43,,,,92,,59,,,,48,,43,,,,48,,49,,,,56,,73,,147,,,,43,,,,48,,125,,42,,,,42
,,,,,,51,,,,,,65,,,,65,,68,,132,,44,,,,,,,,,,,,,,,,,,,,43,,60,,,,,,,,,,113,,,,,,,,48,,50,,47,,42,,,,92,,56,,,,42,,,,,,49,,47,,,,43,,57,,107,,,,43,,,,44,,105,,42,,,,66
,,,,,,48,,,,,,57,,,,57,,60,,85,,42,,,,,,,,,,,,,,,,,,,,48,,56,,,,,,,,,,81,,,,,,,,,,51,,48,,47,,,,80,,56,,,,,,,,,,48,,44,,,,47,,52,,84,,,,,,,,44,,75,,66,,,,263
,,,,,,47,,,,,,55,,,,57,,62,,74,,44,,,,,,,,,,,,,,,,,,,,57,,48,,,,,,,,,,69,,,,,,,,,,53,,43,,,,,,90,,57,,,,,,,,,,44,,47,,,,43,,49,,71,,,,,,,,42,,66,,309,,,,313
,,,,,,47,,,,,,46,,,,65,,64,,72,,42,,,,,,,,,,,,,,,,,,,,61,,48,,,,,,,,,,66,,,,,,,,,,53,,44,,,,,,66,,62,,,,,,,,,,43,,48,,,,43,,48,,57,,,,,,,,57,,63,,371,,,,398
,,,,,,50,,,,,,54,,,,50,,74,,96,,42,,,,,,,,,,,,,,,,,,,,61,,48,,,,,,,,,,64,,,,,,,,,,49,,45,,,,,,50,,63,,,,,,,,,,43,,42,,,,44,,46,,70,,,,,,,,78,,64,,371,,,,407
,,,,,,57,,,,,,72,,,,,,52,,248,,42,,,,,,,,,,,,,,,,,,,,66,,57,,,,,,,,,,106,,,,,,,,,,48,,74,,,,,,48,,65,,,,,,,,,,53,,72,,,,68,,62,,145,,,,,,,,81,,107,,373,,,,415
,,,,,,61,,,,,,96,,,,,,,,602,,45,,,,,,,,,,,,,,,,,,,,66,,104,,,,,,,,,,263,,,,,,,,,,48,,102,,,,,,,,64,,,,,,,,,,68,,125,,,,101,,73,,350,,,,,,,,81,,249,,407,,,,431
,,,,,,66,,,,,,144,,,,,,,,773,,54,,,,,,,,,,,,,,,,,,,,66,,66,,,,,,,,,,364,,,,,,,,,,44,,152,,,,,,,,62,,,,,,,,,,77,,163,,,,123,,77,,562,,,,,,,,78,,283,,268,,,,426
,,,,,,70,,,,,,171,,,,,,,,739,,53,,,,,,,,,,,,,,,,,,,,65,,66,,,,,,,,,,407,,,,,,,,,,,,163,,,,,,,,57,,,,,,,,,,84,,131,,,,150,,66,,683,,,,,,,,75,,335,,358,,,,407
,,,,,,75,,,,,,174,,,,,,,,740,,53,,,,,,,,,,,,,,,,,,,,64,,64,,,,,,,,,,407,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,80,,144,,,,159,,70,,736,,,,,,,,94,,387,,386,,,,435
,,,,,,81,,,,,,205,,,,,,,,809,,51,,,,,,,,,,,,,,,,,,,,48,,98,,,,,,,,,,430,,,,,,,,,,,,184,,,,,,,,,,,,,,,,,,88,,149,,,,141,,74,,770,,,,,,,,92,,402,,352,,,,395
,,,,,,75,,,,,,170,,,,,,,,779,,51,,,,,,,,,,,,,,,,,,,,42,,83,,,,,,,,,,371,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,,75,,122,,,,142,,74,,686,,,,,,,,78,,358,,331,,,,422
,,,,,,72,,,,,,171,,,,,,,,860,,48,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,438,,,,,,,,,,,,149,,,,,,,,,,,,,,,,,,78,,132,,,,153,,68,,724,,,,,,,,58,,354,,342,,,,278
,,,,,,58,,,,,,180,,,,,,,,850,,57,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,441,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,75,,164,,,,156,,75,,672,,,,,,,,,,399,,236,,,,239
,,,,,,48,,,,,,79,,,,,,,,313,,47,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,193,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,62,,128,,,,119,,60,,257,,,,,,,,,,145,,197,,,,205
,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,55,,125,,,,126,,56,,,,,,,,,,,,48,,173,,,,
,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,164,,,,,,,,,,,,,,,,,,55,,133,,,,132,,61,,,,,,,,,,,,42,,,,,,
,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,132,,,,,,,,,,,,,,,,,,53,,96,,,,109,,65,,,,,,,,,,,,42,,,,,,
,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,,,,,,,,,,,,119,,,,,,,,,,,,,,,,,,57,,95,,,,104,,63,,,,,,,,,,,,44,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,104,,,,,,,,,,,,,,,,,,63,,88,,,,94,,64,,,,,,,,,,,,44,,,,,,
