Date,Delivering,Receiving,PCS
2020/5/4,Y,L,57
2020/5/4,Y,W,232
2020/5/4,L,W,588
2020/5/4,V,A,122
2020/5/4,L,P,128
2020/5/4,L,R,343
2020/5/4,L,K,319
2020/5/4,C,M,48
2020/5/4,C,N,0
2020/5/4,D,A,57
2020/5/4,D,E,64
2020/5/4,D,L,61
2020/5/4,D,R,74
2020/5/4,E,I,295
2020/5/4,G,L,863
2020/5/4,G,N,48
2020/5/4,G,O,316
2020/5/4,G,R,47
2020/5/4,G,V,807
2020/5/4,H,J,350
2020/5/4,H,K,63
2020/5/4,A,O,127
2020/5/4,I,E,99
2020/5/4,H,L,48
2020/5/4,L,J,70
2020/5/4,L,H,101
2020/5/4,L,G,738
2020/5/4,L,D,42
2020/5/4,K,L,232
2020/5/4,L,O,74
2020/5/4,K,H,299
2020/5/4,J,L,179
2020/5/4,J,K,234
2020/5/4,J,I,375
2020/5/4,J,H,57
2020/5/4,K,J,104
2020/5/4,I,J,352
2020/5/5,O,R,178
2020/5/5,O,G,205
2020/5/5,N,V,148
2020/5/5,N,M,160
2020/5/5,N,G,64
2020/5/5,M,N,48
2020/5/5,P,D,133
2020/5/5,M,G,61
2020/5/5,M,C,57
2020/5/5,L,W,465
2020/5/5,L,R,287
2020/5/5,L,P,110
2020/5/5,M,V,120
2020/5/5,R,D,106
2020/5/5,V,A,107
2020/5/5,R,L,266
2020/5/5,R,O,139
2020/5/5,V,C,45
2020/5/5,V,G,542
2020/5/5,V,M,118
2020/5/5,W,L,314
2020/5/5,W,Y,133
2020/5/5,X,G,42
2020/5/5,X,L,0
2020/5/5,X,W,42
2020/5/5,X,Y,42
2020/5/5,Y,L,57
2020/5/5,L,O,57
2020/5/5,Y,W,75
2020/5/5,R,G,86
2020/5/5,V,N,77
2020/5/5,L,K,306
2020/5/5,L,H,112
2020/5/5,L,J,58
2020/5/5,A,O,87
2020/5/5,C,M,48
2020/5/5,C,N,0
2020/5/5,C,V,44
2020/5/5,D,A,45
2020/5/5,D,E,55
2020/5/5,D,L,48
2020/5/5,E,I,160
2020/5/5,G,L,762
2020/5/5,G,N,44
2020/5/5,G,O,278
2020/5/5,G,R,46
2020/5/5,G,V,577
2020/5/5,D,R,48
2020/5/5,H,K,44
2020/5/5,L,G,557
2020/5/5,H,J,366
2020/5/5,L,D,45
2020/5/5,K,L,74
2020/5/5,K,J,86
2020/5/5,J,L,224
2020/5/5,K,H,284
2020/5/5,J,I,352
2020/5/5,J,H,60
2020/5/5,I,J,279
2020/5/5,I,E,66
2020/5/5,H,L,56
2020/5/5,J,K,70
2020/5/6,N,V,138
2020/5/6,R,D,73
2020/5/6,P,D,110
2020/5/6,O,R,113
2020/5/6,O,G,148
2020/5/6,N,M,137
2020/5/6,L,W,356
2020/5/6,M,V,99
2020/5/6,M,N,48
2020/5/6,M,G,63
2020/5/6,M,C,48
2020/5/6,R,G,74
2020/5/6,N,G,63
2020/5/6,R,L,190
2020/5/6,Y,W,76
2020/5/6,V,A,84
2020/5/6,V,C,43
2020/5/6,V,G,422
2020/5/6,V,M,96
2020/5/6,V,N,122
2020/5/6,W,L,236
2020/5/6,W,X,0
2020/5/6,W,Y,91
2020/5/6,X,G,42
2020/5/6,X,L,42
2020/5/6,X,W,42
2020/5/6,X,Y,43
2020/5/6,Y,L,66
2020/5/6,L,R,228
2020/5/6,R,O,110
2020/5/6,L,P,89
2020/5/6,K,L,66
2020/5/6,L,K,237
2020/5/6,C,M,48
2020/5/6,C,V,48
2020/5/6,D,A,45
2020/5/6,D,E,48
2020/5/6,D,L,47
2020/5/6,D,R,48
2020/5/6,E,I,122
2020/5/6,G,L,556
2020/5/6,G,N,53
2020/5/6,G,O,221
2020/5/6,G,R,44
2020/5/6,G,V,468
2020/5/6,H,J,234
2020/5/6,H,K,43
2020/5/6,A,O,62
2020/5/6,I,E,65
2020/5/6,L,J,58
2020/5/6,L,H,72
2020/5/6,L,G,490
2020/5/6,H,L,57
2020/5/6,L,O,57
2020/5/6,K,J,104
2020/5/6,L,D,48
2020/5/6,J,L,191
2020/5/6,J,K,58
2020/5/6,J,I,276
2020/5/6,J,H,50
2020/5/6,I,J,234
2020/5/6,K,H,195
2020/5/7,R,D,75
2020/5/7,P,D,97
2020/5/7,O,R,112
2020/5/7,O,G,133
2020/5/7,N,V,129
2020/5/7,L,W,319
2020/5/7,N,G,57
2020/5/7,M,V,107
2020/5/7,M,N,47
2020/5/7,M,G,61
2020/5/7,M,C,53
2020/5/7,R,G,66
2020/5/7,N,M,126
2020/5/7,R,L,170
2020/5/7,W,L,240
2020/5/7,V,A,88
2020/5/7,V,C,45
2020/5/7,V,G,409
2020/5/7,V,M,82
2020/5/7,V,N,110
2020/5/7,W,X,42
2020/5/7,W,Y,80
2020/5/7,X,L,42
2020/5/7,X,W,43
2020/5/7,X,Y,42
2020/5/7,Y,L,63
2020/5/7,Y,W,79
2020/5/7,L,R,240
2020/5/7,R,O,105
2020/5/7,L,P,92
2020/5/7,L,O,58
2020/5/7,A,O,60
2020/5/7,L,K,252
2020/5/7,C,M,48
2020/5/7,C,V,47
2020/5/7,D,A,44
2020/5/7,D,E,48
2020/5/7,D,L,43
2020/5/7,D,R,44
2020/5/7,E,I,96
2020/5/7,G,N,56
2020/5/7,G,O,214
2020/5/7,G,R,43
2020/5/7,G,V,447
2020/5/7,G,X,0
2020/5/7,H,J,255
2020/5/7,G,L,551
2020/5/7,H,L,62
2020/5/7,H,K,45
2020/5/7,L,H,79
2020/5/7,L,G,454
2020/5/7,L,D,48
2020/5/7,K,L,59
2020/5/7,K,J,84
2020/5/7,K,H,239
2020/5/7,L,J,48
2020/5/7,J,K,57
2020/5/7,J,I,262
2020/5/7,J,H,49
2020/5/7,I,J,190
2020/5/7,I,E,61
2020/5/7,J,L,175
2020/5/8,R,D,80
2020/5/8,P,D,103
2020/5/8,O,R,113
2020/5/8,O,G,103
2020/5/8,N,V,110
2020/5/8,N,M,110
2020/5/8,M,G,57
2020/5/8,M,V,85
2020/5/8,M,N,44
2020/5/8,M,C,57
2020/5/8,L,W,269
2020/5/8,L,R,221
2020/5/8,N,G,57
2020/5/8,R,G,66
2020/5/8,L,P,101
2020/5/8,R,O,84
2020/5/8,V,A,76
2020/5/8,V,C,43
2020/5/8,V,G,287
2020/5/8,V,M,65
2020/5/8,V,N,93
2020/5/8,W,L,203
2020/5/8,W,X,43
2020/5/8,W,Y,70
2020/5/8,X,L,42
2020/5/8,X,W,44
2020/5/8,Y,L,57
2020/5/8,Y,W,63
2020/5/8,Y,X,0
2020/5/8,R,L,170
2020/5/8,L,O,48
2020/5/8,L,J,48
2020/5/8,A,O,54
2020/5/8,C,M,48
2020/5/8,C,N,0
2020/5/8,C,V,44
2020/5/8,D,A,44
2020/5/8,D,E,48
2020/5/8,D,L,42
2020/5/8,D,R,44
2020/5/8,E,I,92
2020/5/8,G,L,442
2020/5/8,G,N,57
2020/5/8,G,O,179
2020/5/8,G,R,42
2020/5/8,G,V,305
2020/5/8,H,J,286
2020/5/8,L,K,235
2020/5/8,H,L,57
2020/5/8,L,H,68
2020/5/8,L,G,348
2020/5/8,L,D,48
2020/5/8,H,K,42
2020/5/8,K,J,66
2020/5/8,K,H,243
2020/5/8,K,L,54
2020/5/8,J,K,43
2020/5/8,J,I,249
2020/5/8,J,H,53
2020/5/8,I,J,144
2020/5/8,I,E,60
2020/5/8,J,L,128
2020/5/9,O,R,57
2020/5/9,O,G,68
2020/5/9,N,V,88
2020/5/9,N,M,75
2020/5/9,N,G,47
2020/5/9,L,P,62
2020/5/9,M,N,43
2020/5/9,M,G,50
2020/5/9,M,C,53
2020/5/9,L,W,209
2020/5/9,L,R,143
2020/5/9,P,D,68
2020/5/9,M,V,66
2020/5/9,R,D,57
2020/5/9,V,M,59
2020/5/9,R,L,107
2020/5/9,R,O,72
2020/5/9,V,A,64
2020/5/9,V,C,46
2020/5/9,V,G,184
2020/5/9,V,N,68
2020/5/9,W,L,120
2020/5/9,W,Y,57
2020/5/9,X,L,42
2020/5/9,X,W,42
2020/5/9,Y,L,48
2020/5/9,Y,W,48
2020/5/9,L,O,48
2020/5/9,R,G,50
2020/5/9,L,K,144
2020/5/9,J,L,128
2020/5/9,L,H,48
2020/5/9,A,O,48
2020/5/9,C,M,57
2020/5/9,C,N,0
2020/5/9,C,V,44
2020/5/9,D,A,43
2020/5/9,D,E,43
2020/5/9,D,L,42
2020/5/9,L,J,42
2020/5/9,E,I,67
2020/5/9,G,L,255
2020/5/9,G,N,51
2020/5/9,G,O,113
2020/5/9,G,R,43
2020/5/9,D,R,42
2020/5/9,H,J,158
2020/5/9,G,V,214
2020/5/9,L,G,262
2020/5/9,L,D,46
2020/5/9,K,L,55
2020/5/9,K,H,146
2020/5/9,K,J,52
2020/5/9,J,I,135
2020/5/9,J,H,57
2020/5/9,I,J,136
2020/5/9,I,E,48
2020/5/9,H,L,54
2020/5/9,J,K,48
2020/5/10,O,R,50
2020/5/10,N,G,43
2020/5/10,O,G,57
2020/5/10,N,V,61
2020/5/10,N,M,64
2020/5/10,M,V,61
2020/5/10,L,R,124
2020/5/10,M,G,44
2020/5/10,M,C,53
2020/5/10,Y,W,47
2020/5/10,L,W,154
2020/5/10,P,D,53
2020/5/10,M,N,42
2020/5/10,R,D,49
2020/5/10,L,P,57
2020/5/10,R,L,96
2020/5/10,R,O,48
2020/5/10,V,A,53
2020/5/10,V,C,43
2020/5/10,V,G,145
2020/5/10,V,M,49
2020/5/10,V,N,62
2020/5/10,W,L,107
2020/5/10,W,Y,46
2020/5/10,X,L,44
2020/5/10,X,W,42
2020/5/10,X,Y,42
2020/5/10,Y,L,48
2020/5/10,R,G,48
2020/5/10,L,O,44
2020/5/10,L,D,48
2020/5/10,L,J,42
2020/5/10,A,O,48
2020/5/10,C,M,49
2020/5/10,C,V,44
2020/5/10,D,A,0
2020/5/10,D,E,42
2020/5/10,D,L,42
2020/5/10,D,R,42
2020/5/10,E,I,59
2020/5/10,G,L,191
2020/5/10,G,N,48
2020/5/10,G,O,84
2020/5/10,G,R,0
2020/5/10,G,V,161
2020/5/10,L,K,112
2020/5/10,H,J,127
2020/5/10,L,H,48
2020/5/10,L,G,184
2020/5/10,K,L,48
2020/5/10,G,X,0
2020/5/10,K,H,115
2020/5/10,J,L,76
2020/5/10,K,J,48
2020/5/10,J,I,120
2020/5/10,J,H,48
2020/5/10,I,J,86
2020/5/10,I,E,43
2020/5/10,H,L,48
2020/5/10,J,K,0
2020/5/11,O,G,57
2020/5/11,N,V,68
2020/5/11,N,M,60
2020/5/11,N,G,48
2020/5/11,M,V,53
2020/5/11,L,O,43
2020/5/11,M,G,47
2020/5/11,M,C,49
2020/5/11,L,W,145
2020/5/11,L,R,105
2020/5/11,L,P,54
2020/5/11,O,R,48
2020/5/11,M,N,42
2020/5/11,P,D,54
2020/5/11,V,G,139
2020/5/11,R,G,42
2020/5/11,R,L,81
2020/5/11,R,O,46
2020/5/11,V,A,57
2020/5/11,V,C,43
2020/5/11,V,M,57
2020/5/11,V,N,51
2020/5/11,W,L,94
2020/5/11,W,Y,44
2020/5/11,X,L,43
2020/5/11,X,W,42
2020/5/11,L,K,99
2020/5/11,Y,W,44
2020/5/11,R,D,48
2020/5/11,Y,L,44
2020/5/11,L,J,42
2020/5/11,L,G,158
2020/5/11,L,H,48
2020/5/11,A,O,46
2020/5/11,C,M,56
2020/5/11,C,N,0
2020/5/11,C,V,44
2020/5/11,D,A,0
2020/5/11,D,E,42
2020/5/11,D,L,44
2020/5/11,E,I,57
2020/5/11,G,L,177
2020/5/11,G,N,48
2020/5/11,G,O,84
2020/5/11,G,R,42
2020/5/11,D,R,0
2020/5/11,H,J,110
2020/5/11,G,V,145
2020/5/11,K,L,47
2020/5/11,K,J,51
2020/5/11,K,H,100
2020/5/11,J,L,66
2020/5/11,J,K,42
2020/5/11,L,D,45
2020/5/11,J,H,47
2020/5/11,I,J,78
2020/5/11,I,E,43
2020/5/11,H,L,53
2020/5/11,H,K,0
2020/5/11,J,I,113
2020/5/12,R,D,44
2020/5/12,P,D,48
2020/5/12,O,R,48
2020/5/12,O,G,57
2020/5/12,N,V,44
2020/5/12,M,V,48
2020/5/12,N,G,42
2020/5/12,M,G,43
2020/5/12,M,C,54
2020/5/12,L,W,122
2020/5/12,R,G,43
2020/5/12,N,M,51
2020/5/12,R,L,77
2020/5/12,Y,X,0
2020/5/12,V,A,44
2020/5/12,V,C,42
2020/5/12,V,G,98
2020/5/12,V,M,48
2020/5/12,V,N,48
2020/5/12,W,L,83
2020/5/12,W,Y,44
2020/5/12,X,G,42
2020/5/12,X,L,43
2020/5/12,X,W,44
2020/5/12,X,Y,43
2020/5/12,Y,L,44
2020/5/12,Y,W,44
2020/5/12,R,O,45
2020/5/12,L,R,106
2020/5/12,L,K,74
2020/5/12,L,O,44
2020/5/12,L,P,46
2020/5/12,A,O,42
2020/5/12,C,M,48
2020/5/12,C,V,45
2020/5/12,D,E,43
2020/5/12,D,L,0
2020/5/12,D,R,0
2020/5/12,E,I,48
2020/5/12,G,N,43
2020/5/12,G,O,81
2020/5/12,G,R,42
2020/5/12,G,V,90
2020/5/12,H,J,90
2020/5/12,G,L,122
2020/5/12,I,E,0
2020/5/12,H,L,44
2020/5/12,L,H,44
2020/5/12,L,G,113
2020/5/12,L,D,43
2020/5/12,K,L,0
2020/5/12,K,J,43
2020/5/12,L,J,42
2020/5/12,J,L,61
2020/5/12,J,K,42
2020/5/12,J,I,81
2020/5/12,J,H,44
2020/5/12,I,J,66
2020/5/12,K,H,81
2020/5/13,P,D,43
2020/5/13,O,R,43
2020/5/13,O,G,48
2020/5/13,N,V,48
2020/5/13,N,M,48
2020/5/13,M,G,42
2020/5/13,M,N,43
2020/5/13,M,C,65
2020/5/13,L,X,43
2020/5/13,L,W,92
2020/5/13,R,D,43
2020/5/13,M,V,42
2020/5/13,R,G,43
2020/5/13,Y,L,43
2020/5/13,R,O,44
2020/5/13,V,A,44
2020/5/13,V,C,48
2020/5/13,V,G,73
2020/5/13,V,M,0
2020/5/13,V,N,44
2020/5/13,W,L,66
2020/5/13,W,X,42
2020/5/13,W,Y,42
2020/5/13,X,G,0
2020/5/13,X,L,44
2020/5/13,X,W,0
2020/5/13,L,R,74
2020/5/13,Y,W,0
2020/5/13,R,L,62
2020/5/13,L,P,46
2020/5/13,L,H,44
2020/5/13,L,K,65
2020/5/13,A,O,42
2020/5/13,L,O,42
2020/5/13,C,N,43
2020/5/13,C,V,50
2020/5/13,D,A,0
2020/5/13,D,E,42
2020/5/13,D,L,0
2020/5/13,E,I,48
2020/5/13,G,L,97
2020/5/13,G,N,43
2020/5/13,G,O,70
2020/5/13,G,R,42
2020/5/13,G,V,96
2020/5/13,C,M,72
2020/5/13,H,J,80
2020/5/13,G,X,42
2020/5/13,L,D,42
2020/5/13,K,L,43
2020/5/13,K,J,42
2020/5/13,K,H,68
2020/5/13,J,L,58
2020/5/13,L,G,113
2020/5/13,J,I,74
2020/5/13,J,H,42
2020/5/13,I,J,62
2020/5/13,I,E,42
2020/5/13,H,L,45
2020/5/13,J,K,0
2020/5/14,P,D,44
2020/5/14,O,R,42
2020/5/14,O,G,48
2020/5/14,N,V,43
2020/5/14,N,G,42
2020/5/14,M,V,42
2020/5/14,M,G,42
2020/5/14,M,C,44
2020/5/14,R,D,42
2020/5/14,N,M,43
2020/5/14,R,G,42
2020/5/14,V,N,46
2020/5/14,R,O,46
2020/5/14,V,A,42
2020/5/14,V,C,42
2020/5/14,V,G,68
2020/5/14,V,M,44
2020/5/14,Y,W,42
2020/5/14,W,X,42
2020/5/14,W,Y,0
2020/5/14,X,L,43
2020/5/14,X,W,42
2020/5/14,L,W,78
2020/5/14,R,L,57
2020/5/14,L,R,68
2020/5/14,W,L,57
2020/5/14,L,O,0
2020/5/14,A,O,43
2020/5/14,C,M,47
2020/5/14,C,V,43
2020/5/14,D,E,43
2020/5/14,D,R,0
2020/5/14,E,I,46
2020/5/14,G,L,85
2020/5/14,G,N,42
2020/5/14,G,O,59
2020/5/14,G,V,79
2020/5/14,H,J,61
2020/5/14,H,L,42
2020/5/14,L,P,46
2020/5/14,I,J,57
2020/5/14,J,H,43
2020/5/14,J,I,58
2020/5/14,J,L,54
2020/5/14,K,H,57
2020/5/14,K,J,45
2020/5/14,K,L,42
2020/5/14,L,G,88
2020/5/14,L,H,42
2020/5/14,L,J,42
2020/5/14,L,K,54
2020/5/14,I,E,0
2020/5/15,R,D,42
2020/5/15,P,D,42
2020/5/15,O,R,42
2020/5/15,O,G,45
2020/5/15,L,X,42
2020/5/15,N,M,45
2020/5/15,M,V,42
2020/5/15,M,N,42
2020/5/15,M,C,46
2020/5/15,R,L,54
2020/5/15,N,V,42
2020/5/15,R,O,0
2020/5/15,W,L,54
2020/5/15,V,C,43
2020/5/15,V,G,61
2020/5/15,V,M,0
2020/5/15,V,N,43
2020/5/15,W,X,42
2020/5/15,W,Y,0
2020/5/15,X,G,0
2020/5/15,X,L,44
2020/5/15,X,W,42
2020/5/15,Y,L,0
2020/5/15,L,W,69
2020/5/15,V,A,43
2020/5/15,L,R,63
2020/5/15,L,O,44
2020/5/15,A,O,42
2020/5/15,L,P,43
2020/5/15,C,M,46
2020/5/15,C,V,42
2020/5/15,D,E,0
2020/5/15,E,I,42
2020/5/15,G,L,74
2020/5/15,G,N,42
2020/5/15,G,R,42
2020/5/15,G,V,66
2020/5/15,G,X,42
2020/5/15,H,J,61
2020/5/15,H,L,43
